ID,Address,Short PC,PC,Price_£,Offer,Period,Status,House Type,Bed,Bath,Recpt,Heating,Windows,Window Type,Garage Description,Garage Size,Garage Type,Driveway,Parking,Garden,Basement,Roofspace,Conservatory,EPC Rating,Rates,Acres,sq ft,Listing Date,Time at this price,Description,URL,Date stamp
356978,"2 Bed Apartment Type B, The Obel, Donegall Quay, City Centre, Belfast",,,167750,,,For sale,Apartment,2,2,1,,,unknown,,,,,Y,,,,,,,,,,,2 Bed Apartment For Sale,http://www.propertypal.com/2-bed-apartment-type-b-the-obel-donegall-quay-city-centre-belfast/356978,20160507
97,"Millreagh (Antrim Construction Company), Dundonald",,,199950,,,,,,,,,,unknown,retractable,single,detached,Y,Y,Y,,Y,,,,,,,,5 new homes with 3-4 bedrooms For Sale,http://www.propertypal.com/millreagh-antrim-construction-company-dundonald/d97,20160507
364816,"5 Lyndhurst View Park, North Belfast, Belfast",BT1,BT1 3XZ,175000,Offers around,,For sale,Semi-detached house,3,1,2,oil,upvc double glazed windows,double,matching,single,detached,Y,Y,Y,,,Y,,,,,,52,3 Bed Semi-detached house For Sale,http://www.propertypal.com/5-lyndhurst-view-park-north-belfast-belfast/364816,20160507
364420,"66 Custom House Square, 4 Ulster Street, Belfast City Centre, Belfast",BT1,BT1 3ES,130000,Offers over,,For sale,Apartment,1,,,,,unknown,,,,,,,,,,B81/B81,,,,,309,1 Bed Apartment For Sale,http://www.propertypal.com/66-custom-house-square-4-ulster-street-belfast-city-centre-belfast/364420,20160507
362513,"48 Queens Square, Belfast",BT1,BT1 3FF,175000,Asking price,,For sale,Apartment,2,2,1,gas,,unknown,,,,,Y,,,,,,,,,,893,2 Bed Apartment For Sale,http://www.propertypal.com/48-queens-square-belfast/362513,20160507
351871,"The Granary Building, James Clow, Princes Dock Street, Belfast",,,115000,,,For sale,Apartment,2,,1,gas,,unknown,,,,,Y,,,,,B81/B84,,,,,,2 Bed Apartment For Sale,http://www.propertypal.com/the-granary-building-james-clow-princes-dock-street-belfast/351871,20160507
351869,"The Merchant Building, James Clow, Princes Dock Street, Belfast",,,117500,,,For sale,Apartment,2,,1,gas,,unknown,,,,,Y,,,,,B84/B86,,,,,,2 Bed Apartment For Sale,http://www.propertypal.com/the-merchant-building-james-clow-princes-dock-street-belfast/351869,20160507
358507,"34 Custom House Residence, 4 Ulster Street, Belfast",BT1,BT1 3EW,199950,Asking price,,For sale,Apartment,2,,1,gas,,unknown,,,,,Y,,,,,B83/B84,,,,,589,2 Bed Apartment For Sale,http://www.propertypal.com/34-custom-house-residence-4-ulster-street-belfast/358507,20160507
357164,"Apt 33 Queens Square, Belfast",BT1,BT1 3FF,166500,Asking price,,For sale,Apartment,2,,1,gas,,unknown,,,,,Y,,,,,B81/B83,,,,,614,2 Bed Apartment For Sale,http://www.propertypal.com/apt-33-queens-square-belfast/357164,20160507
356959,"2 Bed Apartment Type A, The Obel, Donegall Quay, City Centre, Belfast",,,176000,,,For sale,Apartment,2,2,1,,,unknown,,,,,Y,,,,,,,,,,,2 Bed Apartment For Sale,http://www.propertypal.com/2-bed-apartment-type-a-the-obel-donegall-quay-city-centre-belfast/356959,20160507
356940,"1 Bed Apartment, The Obel, Donegall Quay, City Centre, Belfast",BT1,BT1 3NH,134000,Asking price,,For sale,Apartment,1,1,1,,,unknown,,,,,Y,,,,,,,,,,,1 Bed Apartment For Sale,http://www.propertypal.com/1-bed-apartment-the-obel-donegall-quay-city-centre-belfast/356940,20160507
356542,"74 Queens Square, Belfast",BT1,BT1 3FF,174950,Price,,For sale,Apartment,2,2,1,,,unknown,,,,,Y,,,,,,,,,,340,2 Bed Apartment For Sale,http://www.propertypal.com/74-queens-square-belfast/356542,20160507
355153,"Apartment 302 4 College Avenue, City Centre, Belfast",BT1,BT1 6BB,89950,Offers over,,For sale,Apartment,1,1,,gas,,unknown,,,,,,,,,,,,,,,444,1 Bed Apartment For Sale,http://www.propertypal.com/apartment-302-4-college-avenue-city-centre-belfast/355153,20160507
353689,"Apt 48 Clarendon Quay, 2 Pilot Place, Belfast",BT1,BT1 3AG,120000,Guide price,,For sale,Apartment,2,1,1,,,unknown,,,,,Y,,,,,C80/B85,,,,,496,2 Bed Apartment For Sale,http://www.propertypal.com/apt-48-clarendon-quay-2-pilot-place-belfast/353689,20160507
352113,"411 Saint Annes Square, Belfast City Centre, Belfast",BT1,BT1 2LD,189950,Asking price,,For sale,Apartment,2,,1,gas,,unknown,,,,,Y,,,,,B83/B86,,,,,485,2 Bed Apartment For Sale,http://www.propertypal.com/411-saint-annes-square-belfast-city-centre-belfast/352113,20160507
351643,"Apt 215 Saint Anne's Square, Hector Co, 18 Talbot Street, Belfast",BT1,BT1 2LD,180000,Guide price,,For sale,Apartment,2,2,1,,,unknown,,,,,Y,,,,,B83/B85,,,,,566,2 Bed Apartment For Sale,http://www.propertypal.com/apt-215-saint-annes-square-hector-co-18-talbot-street-belfast/351643,20160507
350451,"Apt 10 Queens Square, Belfast",BT1,BT1 3FF,159950,Asking price,,For sale,Apartment,2,,1,gas,,unknown,,,,,Y,,,,,C79/B82,,,,,330,2 Bed Apartment For Sale,http://www.propertypal.com/apt-10-queens-square-belfast/350451,20160507
350429,"Apt 2, Merchant Building, James Clow, Belfast",BT1,BT1 3DS,149950,Asking price,,For sale,Apartment,2,,1,,,unknown,,,,,Y,,Y,,,B81/B83,,,,,523,2 Bed Apartment For Sale,http://www.propertypal.com/apt-2-merchant-building-james-clow-belfast/350429,20160507
343759,"54 Custom House Residence, Custom House Residence, Custom House Square, Belfast",BT1,BT1 3ES,165000,Asking price,,For sale,Apartment,1,1,1,gas,,unknown,,,,,,,Y,,,,,,,,,1 Bed Apartment For Sale,http://www.propertypal.com/54-custom-house-residence-custom-house-residence-custom-house-square-belfast/343759,20160507
343753,"74 Custom House Residence, Belfast, Bt1 3Es, Custom House Residence, C...Belfast",BT1,BT1 3ES,225000,Asking price,,For sale,Apartment,2,2,1,gas,,unknown,,,,,Y,,Y,,,,,,,,,2 Bed Apartment For Sale,http://www.propertypal.com/74-custom-house-residence-belfast-bt1-3es-custom-house-residence-cbelfast/343753,20160507
59771,"Apt 11 College Gate, 29 College Square North, Belfast",BT1,BT1 6AS,150000,Guide price,,For sale,Apartment,3,2,1,gas,pvc double glazed windows,double,,,,,Y,,,,,C79/B82,,,,,279,3 Bed Apartment For Sale,http://www.propertypal.com/apt-11-college-gate-29-college-square-north-belfast/59771,20160507
